Campaign,Ad Group,Keyword,Match Type,Max CPC,Final URL,Campaign Type,Campaign Status,Ad Group Status,Keyword Status,Negative Keyword
HotNewsTrends - Trending Topics,Breaking News,trending news,Broad,0.50,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Breaking News,breaking news,Broad,0.45,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Breaking News,hot news,Broad,0.48,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Breaking News,latest news,Broad,0.42,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Breaking News,news today,Broad,0.40,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Breaking News,current events,Broad,0.35,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Breaking News,viral news,Broad,0.38,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Breaking News,popular news,Broad,0.36,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Breaking News,news updates,Broad,0.33,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Breaking News,fast news,Broad,0.30,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,AI & Tech News,AI news,Exact,0.65,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,AI & Tech News,artificial intelligence news,Phrase,0.60,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,AI & Tech News,tech news,Broad,0.55,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,AI & Tech News,technology updates,Phrase,0.50,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,AI & Tech News,AI journalism,Exact,0.70,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,AI & Tech News,automated news,Phrase,0.58,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Sports News,sports news,Broad,0.45,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Sports News,rams vs eagles,Exact,0.75,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Sports News,colts vs titans,Exact,0.72,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Sports News,vikings game today,Phrase,0.68,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Sports News,packers vs browns,Exact,0.70,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Sports News,steelers vs patriots,Exact,0.73,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Sports News,falcons vs panthers,Exact,0.69,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Sports News,cowboys vs bears,Exact,0.66,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Entertainment,entertainment news,Broad,0.40,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Entertainment,celebrity news,Broad,0.38,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Entertainment,phil wickham,Exact,0.55,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Entertainment,davante adams,Exact,0.60,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Long-tail Keywords,what's trending today,Phrase,0.52,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Long-tail Keywords,latest trending topics,Phrase,0.48,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Long-tail Keywords,breaking news today,Phrase,0.46,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Long-tail Keywords,hot news stories,Phrase,0.44,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Long-tail Keywords,viral stories today,Phrase,0.42,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Long-tail Keywords,trending news articles,Phrase,0.40,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Long-tail Keywords,current trending topics,Phrase,0.38,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Long-tail Keywords,popular news stories,Phrase,0.36,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Mobile & Accessibility,mobile news,Broad,0.35,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Mobile & Accessibility,news app,Broad,0.45,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Mobile & Accessibility,online news,Broad,0.32,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Mobile & Accessibility,digital news,Broad,0.38,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Mobile & Accessibility,news feed,Broad,0.34,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,News Aggregation,news aggregator,Exact,0.55,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,News Aggregation,trending stories,Broad,0.40,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,News Aggregation,viral content,Broad,0.42,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,News Aggregation,news analysis,Phrase,0.48,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,News Aggregation,comprehensive news,Phrase,0.45,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,News Aggregation,reliable news,Phrase,0.50,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,News Aggregation,news source,Broad,0.38,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,News Aggregation,trending now,Broad,0.44,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,News Aggregation,news coverage,Phrase,0.41,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Trending Current Events,india vs pakistan,Exact,0.65,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
HotNewsTrends - Trending Topics,Trending Current Events,costco recalls,Exact,0.60,https://hotnewstrends.com,Search,Enabled,Enabled,Enabled,
